"company","tier","verdict","email","phone","municipality","prefecture","legal_type","founded","socials","social_urls","kad","ar_gemi","afm","email_domain"
"ALLURE LIMITED","A","verified-no-site","account@larus.gr","2104287315","ΠΕΙΡΑΙΩΣ / ΠΕΙΡΑΙΩΣ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2014","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","131312507001","997213890","larus.gr"
"ALMOSTA ROAD ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","verified-no-site","giota@mythos-sailling.gr","2221020657","ΠΕΙΡΑΙΩΣ / ΠΕΙΡΑΙΩΣ","ΑΤΤΙΚΗΣ","ΙΚΕ","2025","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","185447307000","802924568","mythos-sailling.gr"
"AMBERVALE LIMITED","A","verified-no-site","info@exantas.com.gr","2109484120","ΑΛΙΜΟΥ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2018","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","145806301001","996928141","exantas.com.gr"
"AMG CONSTRUCTION LIMITED YΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ","A","verified-no-site","maria.foteinopoulou@smbcapital.eu","2109483300","ΑΘΗΝΑΙΩΝ / ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2024","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","177652301001","996463020","smbcapital.eu"
"ANDROS SAILING Ι.Κ.Ε.","A","verified-no-site","info@georgiadistax.com","2310526477","ΝΕΑΣ ΣΜΥΡΝΗΣ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΙΚΕ","2026","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","191943703000","803203658","georgiadistax.com"
"ANEMOS Ι.Κ.Ε.","A","verified-no-site","info@vdk.gr","2108080653","ΑΙΓΙΑΛΕΙΑΣ / ΑΧΑΙΑΣ","ΑΧΑΙΑΣ","ΙΚΕ","2020","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","153938416000","801303348","vdk.gr"
"ANGKALIA SHIPPING LIMITED ΥΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ","A","verified-no-site","info@exantas.com.gr","2109484120","ΚΗΦΙΣΙΑΣ / ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2021","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","160514501001","996738019","exantas.com.gr"
"ANTIKERI MARINE LIMITED ΥΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ","A","verified-no-site","info@exantas.com.gr","2109484120","ΑΘΗΝΑΙΩΝ / ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2023","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","168058701001","996568561","exantas.com.gr"
"ARIVA LTD ΥΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ","A","verified-no-site","info@exantas.com.gr","2109484120","ΑΘΗΝΑΙΩΝ / ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2023","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΠΛΟΙΩΝ ΨΥΧΑΓΩΓΙΑΣ (ΚΟΤΕΡΩΝ, ΘΑΛΑΜΗΓΩΝ, ΒΕΝΖΙΝΑΚΑΤΩΝ ΚΛΠ) ΜΕ ΠΛΗΡΩΜΑ","168665001001","996568745","exantas.com.gr"
"ASTERIX YACHTING LIMITED","A","verified-no-site","info@exantas.com.gr","2109484120","ΑΜΑΡΟΥΣΙΟΥ / ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2015","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","135059801001","997120230","exantas.com.gr"
"ATRI MARINE CORPORATION","A","verified-no-site","info@exantas.com.gr","2109484120","ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2023","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","170687901001","996569963","exantas.com.gr"
"AXIA CORPORATION ΥΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ","A","verified-no-site","info@exantas.com.gr","2109484120","ΠΑΛΛΗΝΗΣ / ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2024","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","178612901001","996448170","exantas.com.gr"
"AZURE MARINE LIMITED","A","verified-no-site","info@exantas.com.gr","2109484120","ΠΕΙΡΑΙΩΣ / ΠΕΙΡΑΙΩΣ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2018","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","146036607001","996794957","exantas.com.gr"
"BANDOLERA Ι.Κ.Ε.","A","verified-no-site","info@exantas.com.gr","2109484120","ΕΡΕΤΡΙΑΣ / ΕΥΒΟΙΑΣ","ΕΥΒΟΙΑΣ","ΙΚΕ","2022","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","165195322000","801886586","exantas.com.gr"
"BARACUDA YACHTING LIMITED ΥΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ","A","verified-no-site","accounting@primeteam.group","2109483300","ΑΛΙΜΟΥ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2021","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","158813701001","996736708","primeteam.group"
"BAYLAND MARINE LTD ΥΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ","A","verified-no-site","info@exantas.com.gr","2109484120","ΓΛΥΦΑΔΑΣ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2020","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΠΛΟΙΩΝ ΨΥΧΑΓΩΓΙΑΣ (ΚΟΤΕΡΩΝ, ΘΑΛΑΜΗΓΩΝ, ΒΕΝΖΙΝΑΚΑΤΩΝ ΚΛΠ) ΜΕ ΠΛΗΡΩΜΑ","157666301001","996795954","exantas.com.gr"
"BAYSIDE MARINE LTD ΥΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ","A","verified-no-site","info@exantas.com.gr","2109484120","ΓΛΥΦΑΔΑΣ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2020","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΠΛΟΙΩΝ ΨΥΧΑΓΩΓΙΑΣ (ΚΟΤΕΡΩΝ, ΘΑΛΑΜΗΓΩΝ, ΒΕΝΖΙΝΑΚΑΤΩΝ ΚΛΠ) ΜΕ ΠΛΗΡΩΜΑ","157663301001","996795966","exantas.com.gr"
"BELATRIX SHIPPING LIMITED GREEK BRANCH","A","verified-no-site","i.moustou@kampoukos.gr","210964111","ΠΕΙΡΑΙΩΣ / ΠΕΙΡΑΙΩΣ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2024","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","176018007001","996519020","kampoukos.gr"
"BETTERSPOONS & ΣΙΑ ΕΕ","A","verified-no-site","info@pegasusfinance.gr","2645306748","ΛΕΥΚΑΔΑΣ / ΛΕΥΚΑΔΑΣ","ΛΕΥΚΑΔΑΣ","ΕΕ","2014","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΠΛΟΙΩΝ ΨΥΧΑΓΩΓΙΑΣ (ΚΟΤΕΡΩΝ, ΘΑΛΑΜΗΓΩΝ, ΒΕΝΖΙΝΑΚΑΤΩΝ ΚΛΠ), ΧΩΡΙΣ ΠΛΗΡΩΜΑ","130771443000","800584353","pegasusfinance.gr"
"BLACKFIN TWO ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΙΑ","A","verified-no-site","INFO@VDK.GR","2108080653","ΑΘΗΝΑΙΩΝ / ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΙΚΕ","2022","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","167689803000","801989563","vdk.gr"
"BLADE YACHTING LIMITED","A","verified-no-site","info@exantas.com.gr","2109484120","ΑΜΑΡΟΥΣΙΟΥ / ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2016","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","139265801001","997060474","exantas.com.gr"
"BLESS ME YACHTING  Ι.Κ.Ε.","A","verified-no-site","info@exantas.com.gr","2109484120","ΑΘΗΝΑΙΩΝ / ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΙΚΕ","2025","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","188776501000","803074727","exantas.com.gr"
"BLISS MARITIME LIMITED","A","verified-no-site","info@exantas.com.gr","2109484120","ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2018","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΠΛΟΙΩΝ ΨΥΧΑΓΩΓΙΑΣ (ΚΟΤΕΡΩΝ, ΘΑΛΑΜΗΓΩΝ, ΒΕΝΖΙΝΑΚΑΤΩΝ ΚΛΠ) ΜΕ ΠΛΗΡΩΜΑ","145309401001","996999730","exantas.com.gr"
"BLUE LABEL CRUISES Ε.Ε.","A","verified-no-site","info@kyrtsosgroup.gr","696977351000","ΠΕΙΡΑΙΩΣ / ΠΕΙΡΑΙΩΣ","ΑΤΤΙΚΗΣ","ΕΕ","2024","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΣΚΑΦΩΝ ΘΑΛΑΣΣΙΑΣ ΚΑΙ ΑΚΤΟΠΛΟΪΚΗΣ ΜΕΤΑΦΟΡΑΣ ΕΠΙΒΑΤΩΝ ΜΕ ΧΕΙΡΙΣΤΗ","178331607000","802543667","kyrtsosgroup.gr"
"BLUE SEA HORSE MARITIME LIMITED ΥΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ","A","verified-no-site","info@exantas.com.gr","2109484120","ΑΜΑΡΟΥΣΙΟΥ / ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2021","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","161410901001","996738634","exantas.com.gr"
"BOATSILVER LIMITED","A","verified-no-site","gkorres@vgc.gr","2106264323","ΚΗΦΙΣΙΑΣ / ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2017","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","144354201001","996998630","vgc.gr"
"BRADLEY RUAIRI ΤΟΥ EDWARD","A","verified-no-site","accounts@vlichoyc.com","2645029282","ΛΕΥΚΑΔΑΣ / ΛΕΥΚΑΔΑΣ","ΛΕΥΚΑΔΑΣ","ΑΤΟΜΙΚΗ","2009","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","137251343000","128468802","vlichoyc.com"
"BRIGHTSTAR INC ΥΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ","A","verified-no-site","info@exantas.com.gr","2109484120","ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2020","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","154611901001","996794202","exantas.com.gr"
"BUL YACHT LTD BRANCH GREECE","A","verified-no-site","office@sarkyr.gr","2109801995","ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2024","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","175277701001","996518404","sarkyr.gr"
"BZPW REAL ESTATE ONE ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ","A","verified-no-site","info@onetax.gr","2109525266","ΚΑΛΛΙΘΕΑΣ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΙΚΕ","2019","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","149835603000","801132033","onetax.gr"
"CAAS ANCALLIA LTD. ΥΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ","A","verified-no-site","info@exantas.com.gr","2109484120","ΑΘΗΝΑΙΩΝ / ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","","Υποκατάστημα Αλλοδαπής","2025","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","182271201001","802760477","exantas.com.gr"
"CARISMA S.P.A. ΥΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ","A","verified-no-site","welcome@amaltheia-consulting.gr","00390236747500","ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2026","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","192366601001","996569999","amaltheia-consulting.gr"
"CASA F COMPANY LIMITED ΥΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ","A","verified-no-site","kordalis.p@worldskylimits.com","0035621236206","ΓΛΥΦΑΔΑΣ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2026","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","194133501001","803301406","worldskylimits.com"
