#,services,company,brand,legal,prefecture,website,email,phone,afm,ar_gemi,evidence,duplicate_of
13,Cold calling,( ΠΤΩΧΕΥΣΕ) DEPEND ΕΤΑΙΡΕΙΑ ΠΡΟΩΘΗΣΗΣ ΠΩΛΗΣΕΩΝ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,(ΠΤΩΧΕΥΣΕ) DEPEND LTD,ΕΠΕ,ΑΤΤΙΚΗΣ,https://www.depend.gr/,info@depepnd.gr,2102582812,095657843,2400901000,Cold calling: Telemarketing services,
14,Email,23 MARKETING AGENCY Ι.Κ.Ε.,23 MARKETING AGENCY,ΙΚΕ,ΑΤΤΙΚΗΣ,https://23marketingagency.com/,info@23marketingagency.com,2117058388,801345561,154816801000,Email: Email Marketing,
15,Email,AD OPERATION EXPERTS ΜΟΝΟΠΡΟΣΩΠΗ  IKE,ΑDΟPS  ΜΟΝ. IKE,ΙΚΕ,ΑΘΗΝΩΝ,https://adops.gr/,galinos@adops.gr,2107243813,800726821,138579704000,"Email: from organic search, paid media and social media ads to email marketing, search ads and display campaigns.",
16,Email,AZTECH DIGITAL Ι.Κ.Ε.,AZTECH DIGITAL ,ΙΚΕ,ΑΤΤΙΚΗΣ,https://aztechdigital.gr/,c.fronimos@global-media.gr,2106985981,801136820,149942503000,Email: Email Marketing Ads,
17,Email,BRANDMEDIA VENTURES ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.,,ΙΚΕ,ΑΤΤΙΚΗΣ,https://brandmediaventures.eu/,INFO@BRANDMEDIAVENTURES.EU,6934314516,802446019,176500303000,"Email: Harness the power of digital channels to reach and engage your target audience, including email marketing, social media marketing, search engine optimization (SEO), and pay-per-click (PPC) advertising.",
18,Email,C.N.C. TECHNOLOGIES ΙΚΕ ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,CNCTECH M.I.K.E.,ΙΚΕ,ΑΤΤΙΚΗΣ,https://www.cnctech.gr/el/,xamilakisacc@yahoo.gr,2109313611,800743577,139272708000,"Email: Το Digital Marketing περιλαμβάνει διάφορες δραστηριότητες digital marketing, συμπεριλαμβανομένου του διαδικτύου, των μηχανών αναζήτησης, των μέσων κοινωνικής δικτύωσης, του email και άλλων.",
19,Email,DIGEDIA - DIGITAL MEDIA ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.,DIGEDIA - DIGITAL MEDIA,ΙΚΕ,ΑΤΤΙΚΗΣ,https://www.digedia.gr/,a.andrianos@digedia.gr,6980818068,803212157,192235103000,Email: E-Mail Marketing (Newsletters),
20,Email,DIGITAD PC ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΔΙΑΦΗΜΙΣΗΣ ΚΑΙ ΔΙΑΔΙΚΤΥΟΥ,DIGITAD PC ΕΠΕ,ΕΠΕ,ΑΤΤΙΚΗΣ,https://digitad.net/,drakosioannis@hotmail.com,2104100985,800508694,126390707000,Email: Email Marketing,
21,SMS,Generation Network Ανώνυμη Διαφημιστική Εταιρεία,GEN NET,ΑΕ,ΑΤΤΙΚΗΣ,https://www.genet.gr/el/,info@genet.gr,2109406808,998920311,122420701000,"SMS: Οι αποδέκτες των μηνυμάτων μπορούν να επιλέξουν μόνοι τους το επιθυμητό μέσο επικοινωνίας (π.χ. SMS, MMS), καθώς επίσης και συγκεκριμένο περιεχόμενο.
 Υπηρεσίες: 
 Bluetooth download πληροφοριών
 Επικοινωνία SMS/MMS διαγωνισμού",
22,Email,HIVE ADVERTISING Ε.Ε.,HIVE ADVERTISING,ΕΕ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://hiveadv.gr/,tsipouridou@hiveadv.gr,6934909832,803040214,188007906000,Email: Email Marketing,
23,Email,IMAGINE MORE Ι.Κ.Ε.,IMAGINE MORE,ΙΚΕ,ΑΤΤΙΚΗΣ,https://imaginemore.gr/,konstantinos@imaginemore.gr,6944544088,802722960,181580201000,"Email: Email Marketing & Αυτοματισμοί
Οργανώνουμε στρατηγικές επικοινωνίας με προσωποποιημένα emails και αυτοματοποιημένες διαδικασίες που αυξάνουν την αλληλεπίδραση με το κοινό σας.",
24,Email,IT DEV Ε.Ε.,IT DEV,ΕΕ,ΑΤΤΙΚΗΣ,https://www.itdev.gr/,info@itdev.gr,2111984740,802223278,172450601000,Email: Email Marketing,
25,Email,LEAD MEDIA Ε.Ε.,LEAD MEDIA GROUP,ΕΕ,ΔΩΔΕΚΑΝΗΣΟΥ,https://leadmedia.gr/,info@leadmedia.gr,2241115265,802044682,168796020000,Email: Email marketing,
26,Email,MOBLAC I.K.E.,MOBLAC,ΙΚΕ,ΔΩΔΕΚΑΝΗΣΟΥ,https://moblac.com/,vasilis@tavernaris.com,2122133014,801478542,157673120000,"Email: Let’s not forget E-Commerce, E-mail Marketing and E-verything else.",
27,SMS,MY COMPANY PROJECTS Ο.Ε.,MY COMPANY,ΟΕ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://mycompany.com.gr/,info@mycompany.com.gr,2310231557,998679742,43550306000,"SMS: SMS-Marketing.gr 
 Group Messaging Platform for Greece,
in affordable prices.",
28,Email,NEW ADVISOR ΣΥΜΒΟΥΛΟΙ ΕΠΙΚΟΙΝΩΝΙΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,NEW ADVISOR A.E.,ΑΕ,ΑΤΤΙΚΗΣ,https://www.newadvisor.gr/,Alkis.Haritsis@tempomediagroup.gr,2106175700,094505665,2838001000,Email: CRM & E-mail marketing,
29,Email,North Synergy Ο.Ε.,North Synergy,ΟΕ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://northdigitalsynergy.com/,contact@northdigitalsynergy.com,6972220609,802828949,183521406000,"Email: SEO, AI, branding, advertising, websites, email marketing and automation shouldn’t operate independently.",
30,Email,R2 DIGITAL IKE,R2 DIGITAL,ΙΚΕ,ΑΤΤΙΚΗΣ,https://r2digital.gr/,ka@r2digital.gr,2109230303,800568918,129788001000,Email: Email Marketing,
31,Email,RELEVANCE DIGITAL Ανώνυμη Εταιρεία Παροχής Υπηρεσιών Marketing και Ψηφιακού Μετασχηματισμού,RELEVANCE DIGITAL Α.Ε.,ΑΕ,ΑΤΤΙΚΗΣ,https://relevancedigital.com/,v_stergiopoulos@artion.gr,2106009062,800478280,124663701000,Email: CRM & Email Marketing,
32,Email,ROOM360 Ο.Ε.,,ΟΕ,ΑΤΤΙΚΗΣ,https://room360.gr/,christina@room360.gr,6983878192,802421596,176055703000,Email: -Email Marketing: Ο σκοπός εδώ είναι να φαινόμαστε τακτικά μπροστά στον ιδανικό μας πελάτη με την αφορμή σημαντικών νέων αλλά και προσφορών! Στατιστικές έρευνες δείχνουν οι τα newsletters αυξάνουν κατά πολύ το awareness αλλά και τις πωλήσεις της επιχείρησής σου.,
33,Email,SHAPE ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,SHAPE ΙΚΕ,ΙΚΕ,ΑΤΤΙΚΗΣ,https://shape.com.gr/,account@shape.com.gr,2102796459,095682692,86022902000,Email: – Email Marketing,
34,Email,THINK PLUS OE,THINK PLUS,ΟΕ,ΑΘΗΝΩΝ,https://think-plus.gr/,dt@think-plus.gr,2106101478,800335902,116913303000,Email: Email Marketing,
35,Email,The Digitals Υπηρεσίες Επικοινωνίας Ο.Ε.,The Digitals,ΟΕ,ΕΒΡΟΥ,https://thedigitals.gr/,office@thedigitals.gr,6949222270,802645205,180142421000,"Email: Είναι όλες οι online ενέργειες προβολής και επικοινωνίας μιας επιχείρησης (όπως παρουσία στα social media, διαφημίσεις, email marketing), με στόχο να μεγαλώσει το brand της, να προσεγγίσει περισσότερο κόσμο στοχευμένα και να ενισχύσει τις πωλήσεις.",
36,Email,VALIDUS SALES PROMOTION Ε.Π.Ε.,VALIDUS Ε.Π.Ε.,ΕΠΕ,ΑΤΤΙΚΗΣ,https://validussp.gr/,nakkas@validussp.gr,2102770014,800325877,116270301000,Email: Σχεδιασμός και Υλοποίηση Below the Line ενεργειών με στόχο την συλλογή data base και e-mailing list,
37,Cold calling,WHITE RHINO BRAND EXPERIENCE ΜΟΝΟΠΡΟΣΩΠΗ I.K.E.,WHITE RHINO,ΙΚΕ,ΑΤΤΙΚΗΣ,https://whiterhino.gr/,dimitris.papadimitriou@whiterhino.gr,2130887579,800920574,144955701000,Cold calling: Call center,
38,Email,Α.ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΠΟΥΛΟΥ & ΣΙΑ ΕΕ,ACTIVE MEDIA,ΕΕ,ΑΤΤΙΚΗΣ,https://activemedia.com.gr/,account@activemedia.gr,2109343020,997887312,125999903000,Email: Email Marketing,
39,Email,ΑΓΓΕΛΙΚΗ ΧΑΡΑΛΑΜΠΟΠΟΥΛΟΥ ΤΟΥ ΑΝΑΣΤΑΣΙΟΥ,,ΑΤΟΜΙΚΗ,ΑΤΤΙΚΗΣ,https://graphicnet.gr/,info@graphicnet.gr,2105988749,032279596,2809501000,Email: Newsletter,
40,Email,ΑΣΛΑΝΙΔΗΣ ΗΡΑΚΛΗΣ ΤΟΥ ΑΝΔΡΕΑ,QBRAINS INTERACTIVE STUDIOS,ΑΤΟΜΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://qbrains.gr/,contact@qbrains.gr,+30.2312315318,116718017,42670206000,"Email: Email Marketing
Παρέχουμε υπηρεσίες ειδικά σχεδιασμένων Email Marketing τεχνικών που σας βοηθούν να γλυτώσετε χρήματα και χρόνο.",
41,Email,ΑΣΤΡΟΛΑΜΠΣ Ε.Ε.,ΑΣΤΡΟΛΑΜΠΣ,ΕΕ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://www.astrolabs.gr/,INFO@ASTROLABS.GR,2310908060,801261170,152949504000,Email: Email Marketing,171792604000
42,Email,Β. ΖΑΜΠΕΤΟΓΛΟΥ ΚΑΙ ΣΙΑ ΕΤΕΡΟΡΡΥΘΜΗ ΕΤΑΙΡΙΑ,,ΕΕ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://www.astrolabs.gr/,INFO@ASTROLABS.GR,2310908060,802191541,171792604000,Email: Email Marketing,152949504000
43,Email,ΒΟΓΑΝΑΤΣΗ ΜΑΡΙΝΑ - ΜΠΙΛΛΗ ΚΩΝΣΤΑΝΤΙΑ Ο.Ε.,ARS NOVA,ΟΕ,ΗΡΑΚΛΕΙΟΥ,https://arsnova.gr/,info@arsnova.gr,2810220711,084212375,77048227000,Email: E-mail Marketing,
44,SMS,Γ.Π.Β. ΠΟΛΥΧΡΟΝΟΠΟΥΛΟΣ Ε.Ε.,GETSOCIAL,ΕΕ,ΑΤΤΙΚΗΣ,https://www.getsocial.gr/,finance@getsocial.gr,2106916166,801273284,153235901000,SMS: Messaging Promotions,
45,Email,ΓΕΩΡΓΙΑ ΠΑΠΑΚΩΣΤΑ,DESIGN 4U,ΑΤΟΜΙΚΗ,ΑΤΤΙΚΗΣ,https://design4u.com.gr/,info@design4u.com.gr,2110176252,057410915,68019603000,"Email: καμπάνια newsletter, εταιρικές παρουσιάσεις, ηλεκτρονικές προσκλήσεις, ιστοσελίδα ηλεκτρονικών προσκλήσεων (μαζική αποστολή email, εγγραφή σε φόρμες, έλεγχος αποστολής email)",
46,Email,Δ. ΠΥΛΑΡΙΝΟΣ & ΣΙΑ IKE,,ΙΚΕ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://www.pylarinosadvertising.gr/,dimpylar@otenet.gr,2310451145,095141642,38344805000,Email: eMAIL MARKETING,
47,Email,ΔΑΛΛΑ Ν.-ΞΕΝΑΡΙΟΣ Γ. ΟΕ,ALTAVISTA ADVERTISING,ΟΕ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://alta-vista.gr/,nonna@alta-vista.gr,2310283949,999121572,43643306000,"Email: Email marketing
Το email marketing είναι μία αποτελεσματική μέθοδος, η οποία σας συνδέει με τους επισκέπτες ή τους πελάτες σας.
Με τον επαγγελματισμό μας, θα δημιουργήσουμε αποτελεσματικά email μηνύματα για την καμπάνια σας, ώστε να τραβήξουμε την προσοχή των πελατών σας και να αυξήσουμε τους επισκέπτες σας.",
48,Email,ΕΥΑΓΓΕΛΙΔΟΥ ΜΑΡΙΑ ΤΟΥ ΤΡΥΦΩΝ,,ΑΤΟΜΙΚΗ,ΑΤΤΙΚΗΣ,https://mevart.gr/,info@mevart.gr,2102028472,105538535,119545103000,Email: Δημιουργία και διαχείριση εταιρικών newsletter,
49,Email,ΖΑΡΚΑΝΤΖΑΣ ΝΙΚΟΛΑΟΣ ΤΟΥ ΓΕΩΡΓΙΟΥ,MADIT,ΑΤΟΜΙΚΗ,ΚΟΖΑΝΗΣ,https://madit.gr/,info@madit.gr,2461030600,123529362,142116836000,"Email: ONLINE PRESENCE
Σχεδιάζουμε και διαχειριζόμαστε το κατάλληλο περιεχόμενο για την παρουσία σας διαδικτυακά (Banners, SEO, Newsletter, Google Ads, MarketPlaces)",
50,Email,ΗΛΙΑΣ ΛΕΤΣΙΟΣ & ΣΙΑ ΕΕ,G.E.-THE DESIGN AGENCY,ΕΕ,ΑΤΤΙΚΗΣ,https://www.designagency.gr/,info@designagency.gr,2130414635,801112490,149391201000,Email: Email Marketing,
51,Email,ΘΩΜΑΙΔΗΣ ΣΤΕΦΑΝΟΣ ΤΟΥ ΔΗΜΟΣΘΕΝΗ - ΔΗΜΗΤΡΙΟΥ,,ΑΤΟΜΙΚΗ,ΑΤΤΙΚΗΣ,https://iris.net.gr/index.php/en/,stefanos@iris.net.gr,2897022466,051371413,112512208000,Email: Σχεδιασμός Newsletter,
52,Email,ΚΑΝΑΡΗ ΑΘΗΝΑ ΤΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ,RAINDESIGN,ΑΤΟΜΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://raindesign.gr/,athina@raindesign.gr,2314009822,128283893,155376806000,Email: Newsletter,
53,Email,ΚΑΡΑΤΟΛΙΟΥ ΕΙΡΗΝΗ ΤΟΥ ΓΡΗΓΟΡΙΟΥ,,ΑΤΟΜΙΚΗ,ΠΙΕΡΙΑΣ,https://www.irinikaratoliou.com/,irini@irinikaratoliou.com,2410,115396481,158551348000,Email: Designing and distributing newsletters to increase brand awareness and foster your relationships with your customers.,
54,Email,ΚΟΡΑΚΑΣ ΑΝΔΡΕΑΣ Ε.Ε.,BAKED ADVERTISING,ΕΕ,ΗΡΑΚΛΕΙΟΥ,https://www.bakedads.gr/,andreas@bakedads.gr,2810282772,800565627,129628127000,"Email: EMAIL MARKETING
Το email marketing αποτελεί ένα ισχυρό εργαλείο για το digital marketing της επιχείρησής σας, καθώς σας φέρνει άμεσα πιο κοντά στο κοινό σας, καλλιεργεί μια σχέση εμπιστοσύνης και επικοινωνίας, συμβάλλει στην αναγνωρισιμότητα του brand σας και φυσικά, στοχεύει στην αύξηση των πωλήσεών σας.",
55,Email,ΚΟΥΝΙΟΣ ΗΛΙΑΣ ΤΟΥ ΗΡΑΚΛΗ,,ΑΤΟΜΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://kunios.de/,ilias@kunios.de,,063691461,41342506000,"Email: Αναλαμβάνουμε newsletters, landing pages, SEO, tracking/analytics και performance καμπάνιες (Google Ads, Meta Ads, κτλ)",
56,Email,ΚΩΝΣΤΑΝΤΙΝΟΣ ΚΑΡΑΓΙΑΝΝΗΣ ΚΑΙ ΣΙΑ Ε.Ε.,,ΕΕ,ΑΧΑΙΑΣ,https://www.emphasisteam.gr/,info@emphasisteam.gr,2610220548,999396230,35929016000,Email: E-mail marketing,
57,Email,ΚΩΤΣΟΠΟΥΛΟΥ ΑΡΧΟΝΤΙΣΣΑ ΝΤΕΝΙΣΑ,Denart Designs,ΑΤΟΜΙΚΗ,ΠΕΛΛΗΣ,https://www.denart-designs.com/,info@denart-designs.com,2381401986,120762492,173058647000,Email: Tags: WordPress · SEO · Social Media · Google Analytics · Google Publisher Center · AdSense · Email Marketing · Push Notifications,
58,SMS,ΛΑΖΑΡΙΔΗΣ ΘΕΟΦΙΛΟΣ ΤΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ,,ΑΤΟΜΙΚΗ,ΚΙΛΚΙΣ,https://multipoint.gr/,info@multipoint.gr,234122206,120051080,140993935000,SMS: ΜΑΖΙΚΑ SMS,
59,Email,Μ.ΠΑΠΑΘΑΝΑΣΙΟΥ ΔΙΑΦΗΜΙΣΤΙΚΕΣ ΚΑΙ ΔΗΜΙΟΥΡΓΙΚΕΣ ΥΠΗΡΕΣΙΕΣ ΕΠΙΚΟΙΝΩΝΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,QUEEN ADVERTISING ΜΟΝ. EΠΕ,ΕΠΕ,ΑΤΤΙΚΗΣ,https://queenadv.gr/,mpapathanasiou@queenadv.gr,2106180475,998570515,7346201000,"Email: New Media
 Digital marketing / SEO / Media planning / Google adwords / E-mail marketing / Social media management / Facebook ads 
 Σχεδιάζουμε, δημιουργούμε και διαχειριζόμαστε κάθε κίνησή σας στον ψηφιακό κόσμο του 21ου αιώνα, με τρόπο αποδοτικό και μετρήσιμο.",
60,Email,ΜΑΡΓΑΡΙΤΑ ΒΑΓΓ ΠΑΓΟΥΝΗ,,ΑΤΟΜΙΚΗ,ΚΟΡΙΝΘΙΑΣ,https://designous.com.gr/,info@designous.gr,2742021030,126926127,126749237000,Email: Newsletter,
61,Email,ΜΕΤΑΞΑΡΑΚΗ ΑΙΚΑΤΕΡΙΝΗ ΤΟΥ ΕΜΜΑΝΟΥΗΛ,MKS ΔΙΑΦΗΜΙΣΤΙΚΗ,ΑΤΟΜΙΚΗ,ΗΡΑΚΛΕΙΟΥ,https://mksadv.gr/,katerina@mksadv.gr,2810285542,026786344,75774027000,Email: Email Marketing,188035027000
62,Email,ΜΕΤΑΞΑΡΑΚΗ-ΠΑΠΑΔΑΚΗΣ Ε.Ε.,,ΕΕ,ΗΡΑΚΛΕΙΟΥ,https://mksadv.gr/,katerina@mksadv.gr,6944577827,803041419,188035027000,Email: Email Marketing,75774027000
63,Email,ΜΟΣΚΟΦΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ ΤΟΥ ΕΥΣΤΡΑΤΙΟΥ,MOMEDIA,ΑΤΟΜΙΚΗ,ΑΤΤΙΚΗΣ,https://www.momedia.gr/,info@momedia.gr,,122514768,167959803000,Email: Email Marketing,
64,Email,ΜΠΑΚΡΑΤΣΑΣ ΒΑΣΙΛΕΙΟΣ ΤΟΥ ΑΘΑΝΑΣΙΟΥ,THINK WITTY,ΑΤΟΜΙΚΗ,ΑΤΤΙΚΗΣ,https://witty.gr/,info@witty.gr,2109821529,100985198,65188803000,"Email: Πλήρη πακέτα υπηρεσιών Social Media Marketing & Management, υπηρεσίες SEO, διαφημιστικές καμπάνιες, Email marketing",
65,Email,Ν.ΚΟΥΡΚΟΥΜΕΛΑΚΗΣ & ΣΙΑ ΕΕ,ID SIGN E.E.,ΕΕ,ΑΤΤΙΚΗΣ,https://idsign.gr/,info@idsign.gr,2102724967,998471224,8117801000,Email: Σχεδιασμός ηλεκτρονικών newsletter & υπηρεσία αποστολής,
66,Email,ΟΙΚΟΝΟΜΟΥ Χ. ΣΟΦΙΑΝΟΥ Θ. Ο.Ε.,FELINES AGENCY,ΟΕ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://digitalfelines.com/,oikonomou@digitalfelines.com,6988355792,802479930,177136706000,Email: Email Marketing,
67,Email,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΑΛΕΞΑΝΔΡΟΣ ΤΟΥ ΒΑΣΙΛΕΙΟΥ,,ΑΤΟΜΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://mail-marketing.gr/,contact@mail-marketing.gr,,113837850,186825006000,Email: Αναλαμβάνουμε 100% το email marketing της επιχείρησης. Από το στήσιμο έως την τελική αποστολή.,
68,Email,ΠΑΡΤΑΛΑΣ ΧΑΡΑΛΑΜΠΟΣ,,ΑΤΟΜΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗΣ,https://www.growhub.gr/,lampis@growhub.gr,6985666863,117572882,179845606000,"Email: Email Marketing Strategy
Plan and optimize lifecycle journeys, segmentation, and testing to increase engagement, and conversions per send.",
69,Email,ΠΑΤΡΙΝΟΥ ΕΥΓΕΝΙΑ ΡΑΦΑΕΛΑ ΤΟΥ ΒΑΣΙΛΕΙΟΥ,,ΑΤΟΜΙΚΗ,ΗΡΑΚΛΕΙΟΥ,https://pro-taseis.gr/,info@pro-taseis.gr,2810253861,150410891,156917127000,Email: Το email marketing είναι ένα από τα πιο ισχυρά κανάλια του ψηφιακού μάρκετινγκ που βασίζεται στην αποστολή email για την προώθηση των προϊόντων ή των υπηρεσιών μιας επιχείρησης.,
70,Email,ΠΟΥΜΠΟΥΡΙΔΗΣ ΑΝΕΣΤΗΣ ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΙΑ,DIAMOND PROMOTION M.I.K.E.,ΙΚΕ,ΞΑΝΘΗΣ,https://diamondpromotion.gr/,info@diamondpromotion.gr,2541025579,800959420,145772046000,"Email: E-MAIL MARKETING
Η προώθηση ή μάρκετινγκ μέσω της αποστολής καμπάνιας με τη χρήση E-Mail, αποτελεί μια εξειδικευμένη μέθοδο ψηφιακής προώθησης και διαφήμισης.",
71,SMS,ΠΥΛΑΡΙΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ ΤΟΥ ΣΩΤΗΡΙΟΥ,PILAS.GR GO BRAND YOURSELF,ΑΤΟΜΙΚΗ,ΑΤΤΙΚΗΣ,https://www.pilas.gr/,info@pilas.gr,2104923777,144786472,155973309000,SMS: Μαζικά SMS,
