ar_gemi,co_name_el,co_titles_el,afm,legal_type_descr,prefecture_descr,email,phone,url,discovered_url
345701000,ΔΑΦΝΗ ΕΠΙΚΟΙΝΩΝΙΕΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΕΚΜΕΤΑΛΛΕΥΣΕΩΣ ΜΕΣΩΝ ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ,ΔΑΦΝΗ ΕΠΙΚΟΙΝΩΝΙΕΣ Α.Ε.,094110108,ΑΕ,ΑΤΤΙΚΗΣ,legal@antenna.gr,2106886255,http://corporate.daphne-ep.gr,
351901000,ΣΤΑΥΡΟΣ ΛΕΟΥΣΗΣ -  ΔΙΑΦΗΜΙΣΤΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ Α.Ε.,SOLID HAVAS,094155673,ΑΕ,ΑΤΤΙΚΗΣ,log@solidhavas.gr,2108172100,www.solid.gr,
353601000,ΑVE A.E.,ABE A.E.,094115374,ΑΕ,ΑΤΤΙΚΗΣ,mspanou@ave.gr,2108092136,http://www.audiovisual.gr,
374701000,ODEON A.E. ΕΠΙΧΕΙΡΗΣΗ ΔΗΜΟΣΙΩΝ ΘΕΑΜΑΤΩΝ ΚΑΙ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΕΚΜΕΤΑΛΛΕΥΣΗΣ ΟΠΤΙΚΟΑΚΟΥΣΤΙΚΩΝ ΕΡΓΩΝ,ODEON A.E.,094155151,ΑΕ,ΑΤΤΙΚΗΣ,odeon@odeon.gr,2106786400,www.odeon.com.gr,
375501000,"SPACE HELLAS ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΣΥΣΤΗΜΑΤΑ ΚΑΙ ΥΠΗΡΕΣΙΕΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ, ΠΛΗΡΟΦΟΡΙΚΗΣ, ΑΣΦΑΛΕΙΑΣ - ΙΔΙΩΤΙΚΗ ΕΠΙΧΕΙΡΗΣΗ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΑΣΦΑΛΕΙΑΣ",SPACE HELLAS,094149709,ΑΕ,ΑΘΗΝΩΝ,anik@space.gr,2106504447,http://www.space.gr,
404701000,OLYMPIC DDB ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΟΜΙΛΟΣ ΕΠΙΚΟΙΝΩΝΙΑΣ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΚΑΙ ΣΥΜΜΕΤΟΧΩΝ,TRIBAL DDB ATHENS A.E.,094221865,ΑΕ,ΑΤΤΙΚΗΣ,george.tsourakis@athens.ddb.com,2106175500,www.olympic.gr,
412401000,COSMOS BUSINESS SYSTEMS ΣΥΣΤΗΜΑΤΑ ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ,COSMOS COMPUTERS A.E.B.E.,094223430,ΑΕ,ΑΤΤΙΚΗΣ,karavass@cbs.gr,2106492800,www.cbs.gr,
412801000,ΚΕΝΤΡΟ ΠΡΟΩΘΗΣΕΩΣ ΠΩΛΗΣΕΩΝ ΑΕ,,094221712,ΑΕ,ΑΤΤΙΚΗΣ,panagopg@spc.com.gr,2109249180,www.spc.com.gr,
415101000,"MAGNET Ανώνυμη Διαφημιστική Εταιρεία, Σύμβουλοι Επιχειρήσεων",,094240763,ΑΕ,ΑΤΤΙΚΗΣ,olga.m@magnetathens.gr,2106892151,www.magnetad.gr,
428401000,ΕΛΜΑ ΔΙΑΦΗΜΙΣΤΙΚΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,,095065733,ΕΠΕ,ΑΤΤΙΚΗΣ,accounting@elmadvertising.gr,2103233287,www.elmaadvertising.eu,
433901000,ΕΛΛΗΝΙΚΑΙ ΕΠΙΧΕΙΡΗΣΕΙΣ ΕΙΣΑΓΩΓΩΝ ΕΞΑΓΩΓΩΝ ΕΠΕ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,Ε.Ε.Ε.Ε. Ε.Π.Ε.,095049757,ΕΠΕ,ΑΘΗΝΩΝ,apagalou@egreen.gr,2103629221,,https://egreen.gr/
437001000,ΛΥΔΙΑ ΕΙΣΑΓΩΓΙΚΗ & ΕΜΠΟΡΙΚΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,ΛΥΔΙΑ Ι.Κ.Ε.,095076028,ΙΚΕ,ΑΤΤΙΚΗΣ,1.accounting@lydia.gr,2106726480,www.thelydiacare.eu,
440101000,ΔΙΕΘΝΕΙΣ ΕΚΔΟΣΕΙΣ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,Greek Travel Pages,095083253,ΕΠΕ,ΑΤΤΙΚΗΣ,account@gtp.gr,2103247511,www.gtp.gr,
470301000,C.C.M. INTERNATIONAL ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,,095310743,ΕΠΕ,ΑΤΤΙΚΗΣ,daline@groupccm.com,2106146560,,https://groupccm.com/
474001000,ΚΟΜΠΡΑ ΣΕΝΤΕΡ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,,095229572,ΕΠΕ,ΑΤΤΙΚΗΣ,cobra@cobra-center.gr,2104829801,www.cobra-center.gr,
479201000,Η. ΡΕΛΛΑΣ ΑΝΤΙΠΡΟΣΩΠΕΙΕΣ - ΕΙΣΑΓΩΓΕΣ - ΕΜΠΟΡΙΑ ΑΝΤΑΛΛΑΚΤΙΚΩΝ ΚΑΙ ΑΞΕΣΟΥΑΡ ΑΥΤΟΚΙΝΗΤΩΝ - ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΡΕΛΛΑΣ ΑΜΟΡΤΙΣΕΡ,095221457,ΕΠΕ,ΑΘΗΝΩΝ,rellasepe@gmail.com,2109017389,https://www.rellasamortiser.gr/,
483301000,ΜΕΛΚΟ ΒΙΟΜΗΧΑΝΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ ΚΑΙ ΤΕΧΝΙΚΗ ΟΜΟΡΡΥΘΜΗ ΕΤΑΙΡΙΑ,ΜΕΛΚΟ Ο.Ε.,095246730,ΟΕ,ΑΤΤΙΚΗΣ,mmelengoglou@melco.com.gr,2106536610,www.melko.com.gr,
534001000,ΣΥΓΧΡΟΝΗ ΕΚΔΟΤΙΚΗ Ε.Π.Ε.,,095414071,ΕΠΕ,ΑΤΤΙΚΗΣ,synekdot@otenet.gr,2103815721,www.synchroniekdotiki.gr,
536701000,ΓΕΩΕΡΓΑ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΓΕΩΕΡΓΑ Μ.Ε.Π.Ε.,095459586,ΕΠΕ,ΑΤΤΙΚΗΣ,mtsat58@gmail.com,2107718181,www.isologismos-web/clients/geoerga,
548601000,Δ.ΚΑΡΤΣΩΝΗΣ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,COMPUTER GRAPHIC DESIGN,095423319,ΕΠΕ,ΑΘΗΝΩΝ,info@cgd.gr,2108217295,www.cgd.gr,
576001000,ΕΘΝΙΚΟΣ ΚΗΡΥΞ ΤΗΣ ΝΕΑΣ ΥΟΡΚΗΣ ΕΛΛΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,,095443275,ΕΠΕ,ΑΤΤΙΚΗΣ,amglogistirio@gmail.com,2103607268,www.ekirikas.blogspot.gr,
604101000,PRC Group -The Management House Ανώνυμη Εταιρία Παροχής Διοικητικών Εμπορικών και Τεχνολογικών Υπηρεσιών και Προϊόντων,PRC Group -The Management House,094254976,ΑΕ,ΑΤΤΙΚΗΣ,info@prc.gr,2106971900,www.prc.gr,
619801000,GLOBAL LINK INTERNATIONAL MARKETING RESEARCH-ΕΡΕΥΝΑ ΑΓΟΡΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,LINK MARKETING RESEARCH L.T.D.,095476210,ΕΠΕ,ΑΤΤΙΚΗΣ,roumelioti@globallink.gr,2111061313,www.globallink.gr,
621901000,ODEON CINEMAS ΑΝΩΝΥΜΗ ΕΤΑΙΡEΙΑ ΕΚΜΕΤΑΛΛΕΥΣΗΣ ΚΙΝΗΜΑΤΟΓΡΑΦΙΚΩΝ ΑΙΘΟΥΣΩΝ,ODEON CINEMAS A.E.,094251071,ΑΕ,ΑΤΤΙΚΗΣ,,6786400,www.odeoncinemas.com.gr,
628201000,ΔΗΜΗΤΡΗΣ ΚΟΛΛΑΡΟΣ ΤΟΥ ΑΡΓΥΡΗ,,044052100,ΑΤΟΜΙΚΗ,ΑΤΤΙΚΗΣ,info@kollaros.gr,2108215218,,https://kollaros.gr/
662801000,"ΣΠΡΙΝΤ, ΔΙΑΦΗΜΙΣΤΙΚΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ",SPRINT,094282416,ΑΕ,ΑΤΤΙΚΗΣ,spanos@sprint-adv.gr,2106845570,,https://www.sprint-adv.gr/
704201000,ΔΗΜΗΤΡΙΑΔΗΣ ΕΜΠΟΡΙΚΗ-ΒΙΟΤΕΧΝΙΚΗ ΚΑΙ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΔΗΜΗΤΡΙΑΔΗΣ ΑΕ,094289405,ΑΕ,ΑΤΤΙΚΗΣ,fania@dimitriadis.gr,2102533950,,https://www.dimitriadis.gr/el/
713201000,"ΚΛΕΟΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ, ΞΕΝΟΔΟΧΕΙΑΚΗ, ΝΑΥΤΙΛΙΑΚΗ, ΤΟΥΡΙΣΤΙΚΗ, ΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ, ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΕΙΔΙΚΩΝ ΣΥΜΒΟΥΛΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ",ΚΛΕΟΣ Α.Ε.,094286440,ΑΕ,ΑΤΤΙΚΗΣ,kleos@kleos.gr,2107219084,www.kleos.gr,
717701000,Info Quest Technologies Μονοπρόσωπη Ανώνυμη Εμπορική και Βιομηχανική Εταιρεία Προϊόντων και Υπηρεσιών Πληροφορικής και Τηλεπικοινωνιών,Info Quest Technologies Μ.A.E.B.E.,094173630,ΑΕ,ΑΤΤΙΚΗΣ,info@info.quest.gr,2119994000,www.infoquest.gr,
725201000,DEDEMAN HELLAS ΜΟΝΟΠΡΟΣΩΠΗ Α.Ε.,DEDEMAN HELLAS S.A. ,094317955,ΑΕ,ΑΘΗΝΩΝ,info@praktiker.gr,2109940000,www.praktiker.gr,
737301000,ΑΝΙΜΑ ΤΕΧΝΙΚΗ ΕΜΠΟΡΙΚΗ  ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ,ΑΝΙΜΑ Α.Ε.,095444420,ΑΕ,ΑΤΤΙΚΗΣ,accounting@anima.gr,2107776822,,https://anima.gr/
744001000,ΑΦΟΙ Ι. ΟΥΛΚΕΡΟΓΛΟΥ – ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΕΙΔΩΝ ΡΑΠΤΙΚΗΣ Α.E.Β.Ε.,ΟΥΛΚΕΡ Α.Ε.Β.Ε.,094327186,ΑΕ,ΑΤΤΙΚΗΣ,VKOKOLIOU@OUTLOOK.COM.GR,2102850792,www.uluer.com.gr,
749601000,PUBLICOM COMMUNICATIONS ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΕΠΙΚΟΙΝΩΝΙΑΣ,PUBLICOM COMMUNICATIONS AE,095526437,ΑΕ,ΑΘΗΝΩΝ,georgia.douma@publicomgroup-burson.gr,2106281900,,https://publicomgroup-burson.gr/
772201000,INITIATIVE MEDIA ΔΙΑΦΗΜΙΣΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΙΝΙTIATIVE MEDIA ATHENS,094348620,ΑΕ,ΑΤΤΙΚΗΣ,sbakratsa@htplaw.com.gr,2106798800,www.initiative.gr,
774201000,ΜΕΙΛΙΧΟΣ ΔΙΑΦΗΜΙΣΤΙΚΗ ΤΟΥΡΙΣΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΜΕΙΛΙΧΟΣ,094281470,ΑΕ,ΑΤΤΙΚΗΣ,karelas@otenet.gr,2103626164,http://www.meilixos.gr,
788101000,MEDIA POWER ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,MEDIA POWER Ε.Π.Ε.,095598353,ΕΠΕ,ΑΘΗΝΩΝ,sales@thewebpower.com,2109211597,,https://www.thewebpower.com/
793401000,ΚΟΜΠΑΚΤ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ-ΕΠΙΚΟΙΝΩΝΙΑ ΚΑΙ ΕΝΕΡΓΕΙΕΣ ΠΡΟΩΘΗΣΗΣ,COMPACT,095617581,ΕΠΕ,ΑΤΤΙΚΗΣ,lpirounaki@compactad.gr,2108032130,,https://compactad.gr/
798101000,ZEGETRON ΠΛΗΡΟΦΟΡΙΚΗΣ & ΕΠΙΚΟΙΝΩΝΙΩΝ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ,ZEGETRON Α.Ε.,094351438,ΑΕ,ΑΤΤΙΚΗΣ,info@zegetron.gr,2106856000,,https://www.zegetron.gr/
809301000,Publicis Consultants Athens Ανώνυμη Εταιρεία Δημοσίων Σχέσεων,Publicis Consultants Athens S.A.,094287669,ΑΕ,ΑΤΤΙΚΗΣ,accounting@publicis-consultants.gr,2102711721,www.publicis.strongbute.gr,
827601000,ΔΗΜΗΤΡΙΟΣ ΚΑΡΟΥΣΗΣ ΤΟΥ ΕΥΑΓΓΕΛΟΥ,D.K ADVERTISING - ΟΥΡΑΝΙΟ ΦΩΣ ΔΙΑΦΗΜΙΣΕΙΣ ΕΚΔΟΣΕΙΣ,031159700,ΑΤΟΜΙΚΗ,ΑΤΤΙΚΗΣ,alexandra@dkadv.gr,2108847190,,https://dkadv.gr/
831201000,ΒΙΖΙΟΝ ΔΙΑΦΗΜΙΣΤΙΚΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΒΙΖΙΟΝ ΕΠΕ,095565230,ΕΠΕ,ΑΤΤΙΚΗΣ,gpappas@vision.gr,2106640645,https://vision.gr,
890301000,PRODUCTA DIRECT ΠΡΟΩΘΗΤΙΚΩΝ ΔΡΑΣΤΗΡΙΟΤΗΤΩΝ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,PRODUCTA DIRECT ΕΠΕ,095591665,ΕΠΕ,ΑΤΤΙΚΗΣ,fsidera@producta-d.gr,2106893330,,https://producta-d.gr/
896301000,ΜΕΝΤΙΑ ΣΕΡΒΙΣΕΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,ΜΕΝΤΙΑ ΣΕΡΒΙΣΕΣ Α.Β.Ε.Ε.,094223190,ΑΕ,ΑΤΤΙΚΗΣ,account@mediaservices.gr,2106910124,www.mediaservices.gr/isologismos,
925801000,ΕΚΔΟΣΕΙΣ ΝΗΡΕΑΣ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,,095417800,ΕΠΕ,ΑΤΤΙΚΗΣ,art@art.com.gr,2105225229,www.art.com.gr,
931101000,SCOPE - ΕΜΠΟΡΙΚΗ-ΕΙΣΑΓΩΓΙΚΗ- ΕΞΑΓΩΓΙΚΗ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ IΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,SCOPE Ι.Κ.Ε.,095535667,ΙΚΕ,ΑΤΤΙΚΗΣ,george@gtt.gr,2108650050,http://scope.gr/,
961101000,Ι.Ν. ΛΕΟΥΣΗΣ ΔΙΑΦΗΜΙΣΤΙΚΗ ΕΜΠΟΡΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΠΛΗΡΩΝ ΥΠΗΡΕΣΙΩΝ,JNL +,094356380,ΑΕ,ΑΘΗΝΩΝ,info@ambe.gr,2106140035,www.jnl.com,
961201000,ΚΕΝΤΡΟ ΜΕΛΕΤΩΝ ΑΓΟΡΑΣ ΚΑΙ ΚΟΙΝΗΣ ΓΝΩΜΗΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΙΑ,HELLENIC RESEARCH HOUSE S.A.,094355265,ΑΕ,ΑΤΤΙΚΗΣ,svretos@hrh.gr,2107455900,www.hrh.gr,
991201000,ΜΗΧΑΝΟΡΓΑΝΩΤΙΚΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,FIRST [1st] FOCUS GROUP,095598408,ΙΚΕ,ΑΤΤΙΚΗΣ,ellimitsi@hotmail.com,2102836758,www.focuswebtv.gr,
1010401000,ΓΡΑΜΜΗ ΥΠΑΙΘΡΙΑΙ ΔΙΑΦΗΜΙΣΕΙΣ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΓΡΑΜΜΗ Ε.Π.Ε.,095425374,ΕΠΕ,ΑΤΤΙΚΗΣ,triantafyllakosv@grammi-douka.gr,2105320245,,https://grammi-douka.gr/
1037501000,ΟΡΓΑΝΙΣΜΟΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ ΤΗΣ ΕΛΛΑΔΟΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,OTE Α.Ε. | ΟΤΕ | COSMOTE,094019245,ΑΕ,ΑΤΤΙΚΗΣ,cvogiatzis@ote.gr,2106111000,www.cosmote.gr,
1042201000,TEMPO OPTIMUM MEDIA DIRECTION HELLAS ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΔΙΑΦΗΜΙΣΤΙΚΩΝ ΥΠΗΡΕΣΙΩΝ,TEMPO OMD HELLAS A.E.,094352306,ΑΕ,ΑΤΤΙΚΗΣ,asanidas@ags-law.gr,2106175700,www.omd.gr,
1064201000,ΔΗΜΗΤΡΙΟΣ ΚΛΕΙΔΑΣ ΚΑΙ ΣΙΑ ΕΕ,ΔΗΜΗΤΡΙΟΣ ΚΛΕΙΔΑΣ ΚΑΙ ΣΙΑ,093532528,ΕΕ,ΑΤΤΙΚΗΣ,info@kleidas.gr,2105237502,,https://www.kleidas.gr/el/
1068101000,ΟΡΣΑΛΙΑ ΠΑΡΘΕΝΗ,,044055997,ΑΤΟΜΙΚΗ,ΑΤΤΙΚΗΣ,info@orsalia-parthenis.gr,2102713844,,https://orsalia-parthenis.gr/
1165601000,MEDIAWIDER ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΑΝΤΙΠΡΟΣΩΠΕΥΣΗΣ ΕΚΜΕΤΑΛΛΕΥΣΗΣ ΔΙΑΦΗΜΙΣΤΙΚΩΝ ΜΕΣΩΝ,MEDIAWIDER A.E.,094353051,ΑΕ,ΑΤΤΙΚΗΣ,info@mediawider.com,2110129500,www.publicitas.com/greece,
1169501000,"ΑΣΤΕΡΑΣ ΕΜΠΟΡΙΑ, ΠΑΡΑΓΩΓΗ, ΣΥΣΚΕΥΑΣΙΑ & ΔΙΑΝΟΜΗ ΕΙΔΩΝ SUPER MARKET",ΑΣΤΕΡΑΣ ΕΜΠΟΡΙΚΗ ΑΕ,094284391,ΑΕ,ΑΘΗΝΩΝ,info@matrix-bta.com,2108544660,www.asterasgroup.gr,
1186601000,FREI ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΤΟΥΡΙΣΤΙΚΗ ΣΥΝΕΔΡΙΑΚΗ ΣΥΜΒΟΥΛΕΥΤΙΚΗ & ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,FREI ΜΟΝΟΠΡΟΣΩΠΗ Α.Ε.,094348563,ΑΕ,ΑΤΤΙΚΗΣ,logistirio@frei.gr,2103215600,,https://frei.gr/
1252301000,ΘΕΟΤΟΚΗΣ ΤΡΑΒΕΛ  ΣΥΝΕΔΡΙΑ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΤΗΕΟΤΟΚΙS TRAVEL CONGRESSES SINGLE MEMBER LTD,095474786,ΕΠΕ,ΑΘΗΝΩΝ,george@theotokistravel.gr,00302106852892,,https://www.theotokistravel.gr/en/
1258901000,ΔΙΕΘΝΕΙΣ ΥΠΗΡΕΣΙΕΣ ΚΑΙ ΣΥΝΔΡΟΜΕΣ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,,095584569,ΕΠΕ,ΑΘΗΝΩΝ,mario@iss.gr,2109766976,www.iss.gr,
1312801000,ZITA TOYS ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΚΑΤΑΣΚΕΥΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΠΑΙΧΝΙΔΙΩΝ-ΕΙΔΩΝ ΔΩΡΟΥ-ΕΠΟΧΙΑΚΩΝ ΕΙΔΩΝ-ΧΑΡΤΙΚΩΝ-ΠΟΔΗΛΑΤΩΝ ΚΑΙ ΕΙΔΩΝ ΒΡΕΦΟΑΝΑΠΤΥΞΕΩΣ,ZITA TOYS Α.Ε.,094386948,ΑΕ,ΑΤΤΙΚΗΣ,info@zitatoys.gr,2106856000,www.zitatoys.gr,
1317901000,ΕΚΔΟΣΕΙΣ ΖΕΦΥΡΟΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΖΕΦΥΡΟΣ Α.Ε.,094362613,ΑΕ,ΑΘΗΝΩΝ,,7253995,www.zephyrphublications.gr,
